"-0,169902551","2,04183E-07","1,3253E-08","1,3253E-08.1","1,3253E-08.2","1,1688E-08","1,4818E-08","9,77293E-07","1,3253E-08.3","1,1688E-08.1","2,49691E-06","1,3253E-08.4","4,73363E-07","1,01955E-06","1,3253E-08.5","1,1688E-08.2","2,07749E-06","8,02013E-07","3,62248E-07","1,3253E-08.6","2,30285E-06"
"-0,09375349","2,10443E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,50004E-06","1,1688E-08","4,74928E-07","1,02111E-06","1,3253E-08","1,1688E-08","2,09001E-06","8,02013E-07","3,63813E-07","1,1688E-08","2,30911E-06"
"-0,091749568","2,10443E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,4818E-08","1,1688E-08","2,50317E-06","1,1688E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,1688E-08","2,09314E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,089745645","2,10443E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,4818E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,74928E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,09314E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,087741722","2,10443E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,0947E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30754E-06"
"-0,0857378","2,07313E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,5016E-06","1,3253E-08","4,73363E-07","1,02268E-06","1,3253E-08","1,1688E-08","2,09314E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,30911E-06"
"-0,083733877","2,07313E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,4818E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,3253E-08","4,76493E-07","1,02111E-06","1,3253E-08","1,4818E-08","2,09314E-06","8,02013E-07","3,65378E-07","1,1688E-08","2,30911E-06"
"-0,081729955","2,12008E-07","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","1,3253E-08","9,78858E-07","1,1688E-08","1,3253E-08","2,50317E-06","1,3253E-08","4,73363E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,09157E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30754E-06"
"-0,079726032","2,08878E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,1688E-08","4,74928E-07","1,02111E-06","1,4818E-08","1,3253E-08","2,09157E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30754E-06"
"-0,077722109","2,10443E-07","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,1688E-08","1,1688E-08","2,49691E-06","1,3253E-08","4,74928E-07","1,02268E-06","1,4818E-08","1,3253E-08","2,09157E-06","8,03578E-07","3,62248E-07","1,3253E-08","2,30911E-06"
"-0,075718187","2,12008E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,1688E-08","2,49534E-06","1,3253E-08","4,74928E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,09314E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,30754E-06"
"-0,073714264","2,12008E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,72598E-07","1,4818E-08","1,3253E-08","2,49378E-06","1,1688E-08","4,76493E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,09314E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,30754E-06"
"-0,071710341","2,12008E-07","1,3253E-08","1,4818E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,1688E-08","2,49691E-06","1,1688E-08","4,76493E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,09157E-06","8,03578E-07","3,65378E-07","1,1688E-08","2,30911E-06"
"-0,069706419","2,13573E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,50004E-06","1,1688E-08","4,74928E-07","1,02111E-06","1,4818E-08","1,1688E-08","2,0947E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,067702496","2,13573E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,5016E-06","1,3253E-08","4,76493E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,09157E-06","8,05143E-07","3,63813E-07","1,1688E-08","2,30598E-06"
"-0,065698573","2,13573E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,3253E-08","9,72598E-07","1,3253E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,76493E-07","1,02268E-06","1,4818E-08","1,3253E-08","2,09314E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,30754E-06"
"-0,063694651","2,13573E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,4818E-08","2,49691E-06","1,3253E-08","4,76493E-07","1,02424E-06","1,3253E-08","1,3253E-08","2,09314E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,061690728","2,12008E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,76493E-07","1,02268E-06","1,3253E-08","1,4818E-08","2,09001E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,059686806","2,15138E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,1688E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,1688E-08","4,78058E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,08844E-06","8,03578E-07","3,66943E-07","1,3253E-08","2,30754E-06"
"-0,057682883","2,13573E-07","1,3253E-08","1,3253E-08","1,4818E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,50004E-06","1,3253E-08","4,79623E-07","1,02111E-06","1,3253E-08","1,3253E-08","2,09001E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,05567896","2,13573E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,08688E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,053675038","2,18268E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,4818E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,3253E-08","2,09001E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,051671115","2,15138E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,76493E-07","1,02581E-06","1,3253E-08","1,1688E-08","2,0947E-06","8,03578E-07","3,66943E-07","1,3253E-08","2,31067E-06"
"-0,049667192","2,16703E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,5016E-06","1,1688E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,4818E-08","2,0947E-06","8,05143E-07","3,63813E-07","1,3253E-08","2,31067E-06"
